method,target,year,donors_used,n_models,rmse,mae,runtime_sec,mean_single_rmse,mean_single_mae,mean_T
TF_thinnedSV,17,2018,"19,20,21,18,15,27,48",7,4.356795549,3.034172012,1370.134,4.473379565,3.111799219,16.14285714
TF_thinnedSV,18,2017,"20,21,15,19,27,38,4",7,2.27538215,1.407741714,1356.583,2.602489824,1.673323572,15.42857143
TF_thinnedSV,18,2018,"20,21,15,19,27,38,4",7,2.223453271,1.44617624,1356.533,2.559971239,1.727298919,15.42857143
TF_thinnedSV,19,2017,"17,20,18,21,15,27,38",7,2.350195964,1.46224737,1328.999,2.935808731,1.920356021,16.42857143
TF_thinnedSV,19,2018,"17,20,18,21,15,27,38",7,2.202420637,1.465244187,1322.816,2.893865891,1.967943612,16.42857143
TF_thinnedSV,20,2017,"18,21,19,15,27,38,48",7,2.199088508,1.402212769,1356.586,2.486120001,1.618049653,16
TF_thinnedSV,20,2018,"18,21,19,15,27,38,48",7,1.736359472,1.131181753,1324.143,2.179662163,1.446397776,16
TF_thinnedSV,21,2017,"18,20,15,27,19,38,29",7,3.026545903,2.005989903,1297.314,3.182105645,2.10667859,16.14285714
TF_thinnedSV,21,2018,"18,20,15,27,19,38,29",7,3.517882295,2.477557615,1292.654,3.670010944,2.574625268,16.14285714
TF_thinnedSV,22,2017,"45,52,53,46,43,51,13",7,3.757417838,2.398308033,1468.273,4.167596144,2.678032487,15
TF_thinnedSV,22,2018,"45,52,53,46,43,51,13",7,2.802631482,1.930613964,1477.06,3.34357836,2.291029186,15
TF_thinnedSV,23,2017,"24,4,16,29,40,26,48",7,2.893674582,1.775562539,1506.983,3.126069576,1.966650229,15.71428571
TF_thinnedSV,23,2018,"24,4,16,29,40,26,48",7,2.723482037,1.658379602,1506.34,3.025442841,1.904305401,15.71428571
TF_thinnedSV,24,2017,"23,4,16,29,15,40,27",7,2.64975122,1.508564776,1530.174,2.886902135,1.722105382,16
TF_thinnedSV,24,2018,"23,4,16,29,15,40,27",7,2.620616141,1.499288581,1524.79,2.902727966,1.754260231,16
TF_thinnedSV,25,2017,"10,5,33,11,8,1,41",7,5.418195133,3.445046296,1745.015,5.753862552,3.798542104,16
TF_thinnedSV,25,2018,"10,5,33,11,8,1,41",7,3.27144541,1.97806594,1729.506,3.945359547,2.558378524,16
